label,x,y,color
induce,-38.41957629,-35.87137167,0.3455647140039809
energetically,-38.65222837,-42.77462493,0.8785107464940752
thier,-6.82414156,-27.96005208,0.23310916310675467
fiddler,58.10644547,-25.19166293,0.31799362962875377
damage,5.30051396,-17.29875941,0.33241687363441974
snapkit,33.37720307,-15.07296536,0.47501721105798544
synergies,-1.247000982,-49.39487991,0.7091866596229678
richer,-44.49286397,-38.33950785,0.1251207907788171
ahu,17.43957208,11.15464518,0.3573470296674254
platforms,41.88569188,-32.95617972,0.4308688315797955
lost,-45.2608704,-10.6226558,0.3936427998268299
respect,-36.76427212,-55.15237348,0.7211608371621607
airlangga,52.0903596,38.47038023,0.7716841077035318
uvs,8.638325038,0.2675919071,0.14385072177255398
openstreetmap,32.2031495,-17.05247452,0.9096447832331894
debts,10.6710011,-25.26517315,0.33810607043021434
breadboard,25.26331474,7.119779688,0.9848897862925242
exercitationem,5.975196969,-65.19763177,0.19100135654591865
onion,-14.26735986,21.65892674,0.870644597556989
brexit,-20.94536852,-9.35610617,0.6132908479318352
comm,13.32848017,48.32426131,0.13422977006125625
illegal,-17.84169552,-9.860055431,0.6361672204275277
rejection,7.732369365,-20.78260777,0.9987747955070838
downtempo,-29.24113302,22.74200081,0.25533442935990913
psychosocial,-15.19600316,-5.181300741,0.759697033679148
erlang,50.23950456,-30.59737434,0.25517593205356826
ihrer,-67.32126055,9.498609554,0.7900389234541398
ssg,50.92866724,4.55527731,0.3682691519848683
fanpages,24.58111019,-33.55181632,0.7131834770539275
prerogative,-43.0575022,-23.53403936,0.47691604546364375
rearing,-16.12644739,-3.566009338,0.5124885964345389
custumers,-6.749812775,-27.88318156,0.7151433265133934
humanas,30.64305552,47.66120604,0.3312801131255474
achraf,36.62049203,-54.14364901,0.6401391733811342
abinitio,46.96274162,-14.57392793,0.7359896572128743
gamesparks,34.84790368,-11.1741642,0.25593932101422334
amx,40.9532312,16.49550847,0.4356475969608612
pagadian,7.097415837,47.98837379,0.6257604537536591
xlri,0.5807576172,63.66784268,0.3706620691198639
devin,-16.99810996,44.01483949,0.24905843478752232
uncommonly,-35.93985322,-12.76803243,0.017591875341987695
tealium,30.82117844,-36.683963,0.46162002354514675
reload,19.84135751,-24.18134816,0.7735270877094576
dell,30.16331458,19.51691806,0.37691867550572233
hart,-18.02299906,36.52538633,0.29583653648336616
assisant,-4.47090434,-13.39995498,0.4989659572614288
cairns,-35.27608261,41.7561464,0.1760663357487562
belly,-13.18058169,18.57545806,0.7819197465437833
gtk,34.31358146,-6.959932532,0.4403710788397591
consortium,-8.712757845,30.3038057,0.2672828648078138
ayurveda,-10.90714114,2.80157474,0.05723413724941617
sufficiency,-28.640223,-43.83725884,0.7597106531726242
hardworking,-40.16722447,-53.56907507,0.27187838456762803
softweres,-30.12293466,52.68764855,0.9675675354452208
homo,-39.38831128,0.2859601356,0.3498681388064039
galaxy,29.6819243,-10.7111597,0.7229149357785077
pais,30.15862544,42.17236172,0.025617076899012603
posess,-24.25727944,-45.50139932,0.729660531542431
pdp,35.32804635,13.71658833,0.3546764111250045
mti,43.21685119,21.95135412,0.12393931469295583
aussi,-20.74638611,64.96000101,0.5260186118938202
yearlong,-45.14973482,24.43188479,0.8973509094515559
immaculate,-27.14226771,-47.39707665,0.4517884108578122
der,-68.5888197,10.87690039,0.3636308310665416
hendrerit,64.83883834,11.08436569,0.037790243315869776
aquila,18.16951654,29.65310932,0.03977654092608296
lisbon,43.62607853,37.10259998,0.08700367589126057
flair,-41.28586435,-42.80452764,0.1857756142982061
suitecommerce,41.57146723,-10.6617344,0.412380973803785
palomar,-42.61870612,36.47808317,0.023875213971632836
dining,-4.214667282,16.06575845,0.42135290956203575
mihajlo,48.37384619,20.92332923,0.5528925319305754
ranjan,16.58492774,-56.90287042,0.0668076683622486
storefront,27.54341724,-45.40640425,0.35996033889372747
questionnaires,13.32109989,-38.9420389,0.9045288644002969
erfahrungen,-67.37745225,11.11266429,0.5466965345707562
garantis,-16.29792568,58.56306056,0.5758270963735772
harmonies,1.229896311,-0.483735677,0.5539701194639821
seperti,-64.28789696,-26.87448953,0.3648599373474859
price,-5.593368175,-36.06377118,0.08018101274442468
bake,-7.737051185,14.78303559,0.15453166607203828
diagnostic,-9.56501593,-7.716221553,0.9510316432340554
jomla,38.0313439,-43.79114821,0.4440039159145194
deli,-5.482670848,16.47258327,0.020894231949769027
